image,plates_detected,best_yolo_confidence,plate_text,ocr_confidence,status
Cars0.png,1,0.8504,NO,0.9538,SUCCESS
Cars1.png,1,0.818,PGONN112,0.2318,SUCCESS
Cars10.png,1,0.7859,TN,0.9983,SUCCESS
Cars100.png,1,0.6821,,0,OCR_FAILED
Cars101.png,1,0.7569,HR26BC5514,0.9864,SUCCESS
Cars103.png,2,0.6688,WKIML,0.1616,SUCCESS
Cars104.png,1,0.7721,MGOLXB,0.8985,SUCCESS
Cars105.png,2,0.8131,JP76546,0.718,SUCCESS
Cars106.png,5,0.7571,,0,OCR_FAILED
Cars107.png,1,0.8169,20,0.9994,SUCCESS
Cars109.png,1,0.8694,CZI7KOD,0.9857,SUCCESS
Cars11.png,1,0.9147,NOR516K,0.3747,SUCCESS
Cars110.png,1,0.8188,FI,0.993,SUCCESS
Cars111.png,1,0.834,MH20EE7598,0.9623,SUCCESS
Cars112.png,1,0.8163,SHAKNBK,0.9887,SUCCESS
Cars113.png,1,0.8865,WASHINGTON,0.9996,SUCCESS
Cars115.png,1,0.7667,M666YOB,0.6186,SUCCESS
Cars116.png,1,0.8187,MK3532,0.9268,SUCCESS
Cars117.png,1,0.755,,0,OCR_FAILED
Cars118.png,1,0.804,JA6ZUAR,0.7151,SUCCESS
Cars12.png,1,0.8831,MH12B67237,0.5802,SUCCESS
Cars122.png,1,0.8025,CANISA,0.5602,SUCCESS
Cars123.png,1,0.793,HR26BC5514,0.9132,SUCCESS
Cars125.png,1,0.8178,RP,0.9953,SUCCESS
Cars126.png,1,0.903,KA,1.0,SUCCESS
Cars127.png,1,0.4999,S05,0.1184,SUCCESS
Cars129.png,1,0.8471,OPECLOL,0.9803,SUCCESS
Cars13.png,1,0.831,0U8216,0.3188,SUCCESS
Cars130.png,1,0.8185,HR26BR9044,0.9807,SUCCESS
Cars131.png,5,0.9542,BP,0.9999,SUCCESS
Cars132.png,3,0.8407,,0,OCR_FAILED
Cars133.png,1,0.8616,12685,0.3271,SUCCESS
Cars134.png,1,0.7759,L9TLC,0.6282,SUCCESS
Cars135.png,1,0.8068,F1232,0.7734,SUCCESS
Cars137.png,1,0.6747,,0,OCR_FAILED
Cars139.png,3,0.7345,,0,OCR_FAILED
Cars14.png,1,0.7075,ALR486,0.9989,SUCCESS
Cars140.png,1,0.8239,CHO1ANOOOI,0.536,SUCCESS
Cars141.png,1,0.71,Z,0.1122,SUCCESS
Cars142.png,1,0.8316,FI,0.9601,SUCCESS
Cars143.png,2,0.7695,IONZIOIT,0.1259,SUCCESS
Cars144.png,1,0.84,PEN15,0.9583,SUCCESS
Cars145.png,1,0.8239,CHO1ANOOOI,0.536,SUCCESS
Cars146.png,4,0.6291,,0,OCR_FAILED
Cars149.png,1,0.7559,QWI6263,0.274,SUCCESS
Cars15.png,1,0.7603,IL2YO6,0.0434,SUCCESS
Cars150.png,1,0.804,4850,1.0,SUCCESS
Cars152.png,1,0.7919,DL49AK49,0.99,SUCCESS
Cars153.png,1,0.8169,20,0.9994,SUCCESS
Cars154.png,1,0.8367,2662,1.0,SUCCESS
Cars155.png,1,0.7829,MCB025,0.9916,SUCCESS
Cars157.png,1,0.5803,PTB557K,0.1655,SUCCESS
Cars158.png,1,0.9063,695299,1.0,SUCCESS
Cars159.png,1,0.8238,DL7CN5617,0.8362,SUCCESS
Cars16.png,2,0.692,,0,OCR_FAILED
Cars161.png,1,0.7667,M666YOB,0.6186,SUCCESS
Cars162.png,1,0.7109,0XK3992,0.0639,SUCCESS
Cars163.png,1,0.7989,LR33TEE,0.9993,SUCCESS
Cars164.png,1,0.8671,GT,0.9985,SUCCESS
Cars165.png,1,0.7184,INZIAV1153,0.1542,SUCCESS
Cars166.png,1,0.8506,IMACAR,0.3904,SUCCESS
Cars168.png,1,0.7995,,0,OCR_FAILED
Cars169.png,1,0.838,PRIVATE,0.9997,SUCCESS
Cars17.png,1,0.7822,213,0.9992,SUCCESS
Cars171.png,1,0.831,0U8216,0.3188,SUCCESS
Cars173.png,2,0.8727,VIRGINIA,0.9837,SUCCESS
Cars174.png,3,0.6524,AC,0.0043,SUCCESS
Cars179.png,1,0.8339,4SZ1590,0.4341,SUCCESS
Cars18.png,1,0.7667,M666YOB,0.6186,SUCCESS
Cars180.png,1,0.8865,WASHINGTON,0.9996,SUCCESS
Cars181.png,1,0.8372,JHHAD,0.6272,SUCCESS
Cars182.png,1,0.7375,VI2LAF,0.9409,SUCCESS
Cars183.png,1,0.8581,BRIT0001,0.9999,SUCCESS
Cars185.png,1,0.8531,MFJ9000,0.3861,SUCCESS
Cars186.png,1,0.7697,26SPR4,0.5444,SUCCESS
Cars187.png,1,0.7075,ALR486,0.9989,SUCCESS
Cars188.png,1,0.4088,,0,OCR_FAILED
Cars189.png,1,0.8239,CHO1ANOOOI,0.536,SUCCESS
Cars190.png,1,0.8272,KL5442670,0.6033,SUCCESS
Cars191.png,1,0.7997,3380,1.0,SUCCESS
Cars192.png,1,0.8526,E4GLE,0.9995,SUCCESS
Cars193.png,1,0.6789,189VSM,0.1916,SUCCESS
Cars194.png,1,0.7686,MIE,0.1816,SUCCESS
Cars195.png,1,0.7232,02,0.4037,SUCCESS
Cars197.png,1,0.7989,LR33TEE,0.9993,SUCCESS
Cars198.png,1,0.8291,MHO1478866,0.7791,SUCCESS
Cars199.png,1,0.9537,INDI,0.5981,SUCCESS
Cars2.png,1,0.8333,PREAINLR,0.3496,SUCCESS
Cars20.png,1,0.6089,IO,0.0206,SUCCESS
Cars200.png,1,0.7997,3380,1.0,SUCCESS
Cars202.png,1,0.8176,KWID,0.9998,SUCCESS
Cars204.png,2,0.8616,NBYOND,0.9858,SUCCESS
Cars206.png,1,0.7829,HR26BU0380,0.7907,SUCCESS
Cars207.png,2,0.8083,K817GR,0.2665,SUCCESS
Cars209.png,1,0.7322,,0,OCR_FAILED
Cars21.png,1,0.8088,1RO,0.1494,SUCCESS
Cars210.png,1,0.9537,INDI,0.5981,SUCCESS
Cars213.png,1,0.8894,2,1.0,SUCCESS
Cars214.png,2,0.4392,,0,OCR_FAILED
Cars215.png,3,0.7148,CH9984,0.7281,SUCCESS
Cars216.png,1,0.8471,OPECLOL,0.9803,SUCCESS
Cars217.png,1,0.866,2011,1.0,SUCCESS
Cars218.png,1,0.8057,12525,0.9123,SUCCESS
Cars220.png,1,0.721,P055585,0.7973,SUCCESS
Cars221.png,2,0.7166,,0,OCR_FAILED
Cars222.png,1,0.7697,26SPR4,0.5444,SUCCESS
Cars223.png,3,0.7805,HA634,0.9476,SUCCESS
Cars224.png,1,0.6551,284U717,0.2205,SUCCESS
Cars225.png,1,0.804,JA6ZUAR,0.7151,SUCCESS
Cars226.png,1,0.7172,TN19514523,0.4852,SUCCESS
Cars227.png,1,0.6682,,0,OCR_FAILED
Cars229.png,1,0.5217,,0,OCR_FAILED
Cars230.png,1,0.7989,LR33TEE,0.9993,SUCCESS
Cars231.png,1,0.7982,GBI8TCE,0.7532,SUCCESS
Cars232.png,1,0.7764,13,0.8914,SUCCESS
Cars233.png,1,0.84,UP16TCIJOO,0.26,SUCCESS
Cars234.png,1,0.8099,IMAU555,0.5671,SUCCESS
Cars236.png,1,0.7851,,0,OCR_FAILED
Cars237.png,1,0.803,651L7,0.2054,SUCCESS
Cars24.png,1,0.7569,HR26BC5514,0.9864,SUCCESS
Cars240.png,1,0.8314,CD,0.9995,SUCCESS
Cars241.png,1,0.8015,3SAM123,0.7562,SUCCESS
Cars242.png,1,0.8333,PREAINLR,0.3496,SUCCESS
Cars243.png,1,0.9161,2784,1.0,SUCCESS
Cars244.png,1,0.9769,21780127,0.7101,SUCCESS
Cars245.png,1,0.8185,HR26BR9044,0.9807,SUCCESS
Cars246.png,1,0.797,TS,0.9924,SUCCESS
Cars247.png,1,0.7859,TN,0.9983,SUCCESS
Cars248.png,1,0.8058,MHI2DE1422,0.6344,SUCCESS
Cars250.png,1,0.818,PGONN112,0.2318,SUCCESS
Cars251.png,1,0.7815,WT,0.1344,SUCCESS
Cars253.png,1,0.6748,,0,OCR_FAILED
Cars254.png,1,0.8576,GOTZPOO,0.9534,SUCCESS
Cars255.png,1,0.8791,MH20EJ0364,0.9985,SUCCESS
Cars256.png,1,0.802,YD63LB,0.7476,SUCCESS
Cars257.png,1,0.8844,OKLA,0.9995,SUCCESS
Cars258.png,1,0.8045,5957,0.9437,SUCCESS
Cars26.png,1,0.8068,F1232,0.7734,SUCCESS
Cars260.png,1,0.7489,IMAU5333,0.6336,SUCCESS
Cars261.png,1,0.9886,D,0.9979,SUCCESS
Cars262.png,1,0.8171,ICYAKSY,0.3911,SUCCESS
Cars263.png,1,0.8078,02,1.0,SUCCESS
Cars264.png,1,0.8387,2010,0.9933,SUCCESS
Cars265.png,1,0.8261,M,0.9991,SUCCESS
Cars267.png,2,0.7601,4677222,0.2604,SUCCESS
Cars268.png,1,0.6951,UV3,0.0982,SUCCESS
Cars269.png,2,0.723,S,0.9108,SUCCESS
Cars27.png,1,0.8699,DZI7YXR,0.9774,SUCCESS
Cars270.png,1,0.7257,120182991,0.123,SUCCESS
Cars272.png,1,0.841,RXGIGDU,0.8615,SUCCESS
Cars273.png,1,0.8581,BRIT0001,0.9999,SUCCESS
Cars274.png,1,0.8025,CANISA,0.5602,SUCCESS
Cars275.png,1,0.7956,BHIMAR,0.5115,SUCCESS
Cars276.png,1,0.8694,CZI7KOD,0.9857,SUCCESS
Cars279.png,1,0.7825,MMN,0.9252,SUCCESS
Cars28.png,1,0.6864,QDI,0.0863,SUCCESS
Cars280.png,1,0.712,,0,OCR_FAILED
Cars282.png,1,0.9734,68361136,0.5785,SUCCESS
Cars283.png,4,0.6823,O4,0.5839,SUCCESS
Cars284.png,1,0.8367,2662,1.0,SUCCESS
Cars286.png,1,0.8533,MIDLYPH,0.9894,SUCCESS
Cars287.png,1,0.8238,DL7CN5617,0.8362,SUCCESS
Cars288.png,1,0.7956,BHIMAR,0.5115,SUCCESS
Cars29.png,1,0.8596,9214,0.9996,SUCCESS
Cars290.png,1,0.7146,04J,0.1173,SUCCESS
Cars291.png,0,0,,0,NO_PLATE
Cars293.png,1,0.7982,GBI8TCE,0.7532,SUCCESS
Cars294.png,1,0.8149,01CCIAO001,0.596,SUCCESS
Cars295.png,2,0.785,8544,0.9958,SUCCESS
Cars296.png,1,0.8614,145,1.0,SUCCESS
Cars297.png,1,0.8099,IMAU555,0.5671,SUCCESS
Cars298.png,1,0.8188,LAMBO,0.9946,SUCCESS
Cars299.png,1,0.8033,SDN7484U,0.9875,SUCCESS
Cars3.png,1,0.8699,DZI7YXR,0.9774,SUCCESS
Cars30.png,2,0.8131,JP76546,0.718,SUCCESS
Cars300.png,1,0.8068,F1232,0.7734,SUCCESS
Cars302.png,1,0.8654,50,1.0,SUCCESS
Cars303.png,1,0.8272,KL5442670,0.6033,SUCCESS
Cars305.png,1,0.8321,JU,0.9994,SUCCESS
Cars306.png,1,0.8681,LAWYER,0.7527,SUCCESS
Cars307.png,1,0.843,M906090K,0.999,SUCCESS
Cars308.png,1,0.793,HR26BC5514,0.9132,SUCCESS
Cars309.png,1,0.8124,EAB00OL,0.5485,SUCCESS
Cars31.png,1,0.802,YD63LB,0.7476,SUCCESS
Cars310.png,1,0.861,LGETOIL,0.6164,SUCCESS
Cars311.png,2,0.7497,N21418449,0.0977,SUCCESS
Cars313.png,1,0.878,NBEYOND,0.9991,SUCCESS
Cars314.png,1,0.8193,KPIV728,0.7522,SUCCESS
Cars315.png,1,0.9765,BJ,1.0,SUCCESS
Cars316.png,2,0.7724,2,1.0,SUCCESS
Cars317.png,1,0.7569,HR26BC5514,0.9864,SUCCESS
