frame,timestamp,plate,yolo_confidence,ocr_confidence,final_confidence,x1,y1,x2,y2
5,0.083,NA3NRU,0.6011,0.7626,0.7438,939,1788,1218,1872
5,0.083,W5LSU,0.5953,0.2889,0.3223,2400,1575,2595,1641
10,0.167,UOSU,0.5767,0.1837,0.2186,2403,1584,2589,1650
10,0.167,NAIJNRU,0.553,0.6479,0.6036,948,1812,1212,1881
15,0.25,LEISU,0.5738,0.1323,0.1826,2406,1602,2592,1665
15,0.25,NAJNRU,0.5435,0.7171,0.652,921,1824,1203,1911
20,0.333,WNSU,0.611,0.5566,0.4796,2412,1620,2598,1689
20,0.333,NAJNRU,0.5362,0.6734,0.6367,915,1842,1206,1929
25,0.417,NAIJNRU,0.6284,0.57,0.5763,912,1869,1194,1956
25,0.417,WSSU,0.5248,0.2988,0.2991,2412,1629,2598,1695
30,0.5,MAIJNRU,0.7046,0.6766,0.6236,912,1887,1182,1983
30,0.5,CSSU,0.6059,0.45,0.405,2418,1644,2601,1710
35,0.583,NAI3NRU,0.5993,0.5155,0.5708,897,1908,1173,1992
35,0.583,CSSU,0.4576,0.4978,0.4217,2412,1671,2604,1734
40,0.667,CVSVSU,0.7272,0.3532,0.3973,2424,1677,2613,1746
40,0.667,NAI3NRU,0.5583,0.6395,0.6142,876,1926,1170,2010
45,0.75,LSSU,0.7145,0.2604,0.2723,2427,1686,2625,1755
45,0.75,NAIJNRU,0.5548,0.9419,0.654,870,1953,1170,2040
50,0.833,NAIJNRU,0.6205,0.9889,0.701,870,1968,1161,2055
50,0.833,W5SU,0.583,0.1476,0.2234,2430,1719,2628,1782
55,0.917,NVSISU,0.6516,0.4613,0.4729,2430,1725,2634,1797
55,0.917,NAIJNRU,0.5589,0.7166,0.6912,858,1998,1161,2103
60,1.0,LUSIVSU,0.6081,0.2409,0.3186,2439,1746,2634,1809
60,1.0,NAIJNRU,0.5575,0.967,0.7138,846,2019,1155,2115
65,1.083,NSSU,0.6002,0.4524,0.4067,2439,1770,2634,1830
65,1.083,NAI3NRU,0.5951,0.4247,0.5786,840,2052,1140,2133
70,1.167,LSICSU,0.6536,0.3193,0.3735,2436,1776,2649,1848
70,1.167,NAIJNRU,0.542,0.3644,0.6697,828,2067,1149,2157
75,1.25,THU,0.6863,0.2068,0.2348,2445,1794,2646,1866
